ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
JEL H,2018,1998,2017,1,1334,14,14,7,55,6,0.109091
JEL H,2018,1998,2017,5,1334,67,128,3,55,14,0.254545
JEL H,2018,1998,2017,10,1334,134,322,2,55,15,0.272727
JEL H,2019,1999,2018,1,1392,14,14,7,61,9,0.147541
JEL H,2019,1999,2018,5,1392,70,127,3,61,20,0.327869
JEL H,2019,1999,2018,10,1392,140,347,2,61,26,0.42623
JEL H,2020,2000,2019,1,1444,15,21,6,39,9,0.230769
JEL H,2020,2000,2019,5,1444,73,131,3,39,13,0.333333
JEL H,2020,2000,2019,10,1444,145,363,2,39,18,0.461538
JEL H,2021,2001,2020,1,1468,15,15,7,56,7,0.125
JEL H,2021,2001,2020,5,1468,74,137,3,56,13,0.232143
JEL H,2021,2001,2020,10,1468,147,361,2,56,20,0.357143
JEL H,2022,2002,2021,1,1501,16,16,7,66,6,0.090909
JEL H,2022,2002,2021,5,1501,76,139,3,66,16,0.242424
JEL H,2022,2002,2021,10,1501,151,366,2,66,26,0.393939
JEL H,2023,2003,2022,1,1590,16,26,6,73,2,0.027397
JEL H,2023,2003,2022,5,1590,80,143,3,73,17,0.232877
JEL H,2023,2003,2022,10,1590,159,382,2,73,26,0.356164
JEL H,2024,2004,2023,1,1687,17,22,6,67,4,0.059701
JEL H,2024,2004,2023,5,1687,85,157,3,67,13,0.19403
JEL H,2024,2004,2023,10,1687,169,400,2,67,21,0.313433
JEL H,2025,2005,2024,1,1775,18,23,6,74,9,0.121622
JEL H,2025,2005,2024,5,1775,89,164,3,74,18,0.243243
JEL H,2025,2005,2024,10,1775,178,418,2,74,29,0.391892
JEL H,2026,2006,2025,1,1869,19,26,6,27,5,0.185185
JEL H,2026,2006,2025,5,1869,94,175,3,27,7,0.259259
JEL H,2026,2006,2025,10,1869,187,432,2,27,10,0.37037
