n_authors,total_credit,top_1pct_share,top_5pct_share,top_10pct_share,hhi,gini,year
2,1.0,0.5,0.5,0.5,0.5,0.0,2020
1,1.0,1.0,1.0,1.0,1.0,0.0,2021
