ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
JEL J,1950,1930,1949,1,0,0,0,,22,0,0.0
JEL J,1950,1930,1949,5,0,0,0,,22,0,0.0
JEL J,1950,1930,1949,10,0,0,0,,22,0,0.0
JEL J,1951,1931,1950,1,22,1,1,3,17,0,0.0
JEL J,1951,1931,1950,5,22,2,22,1,17,2,0.117647
JEL J,1951,1931,1950,10,22,3,22,1,17,2,0.117647
JEL J,1952,1932,1951,1,38,1,1,3,18,0,0.0
JEL J,1952,1932,1951,5,38,2,3,2,18,0,0.0
JEL J,1952,1932,1951,10,38,4,38,1,18,4,0.222222
JEL J,1953,1933,1952,1,56,1,1,3,18,0,0.0
JEL J,1953,1933,1952,5,56,3,7,2,18,1,0.055556
JEL J,1953,1933,1952,10,56,6,7,2,18,1,0.055556
JEL J,1954,1934,1953,1,73,1,2,3,10,1,0.1
JEL J,1954,1934,1953,5,73,4,8,2,10,1,0.1
JEL J,1954,1934,1953,10,73,8,8,2,10,1,0.1
JEL J,1955,1935,1954,1,80,1,1,4,11,0,0.0
JEL J,1955,1935,1954,5,80,4,10,2,11,1,0.090909
JEL J,1955,1935,1954,10,80,8,10,2,11,1,0.090909
JEL J,1956,1936,1955,1,87,1,1,4,16,0,0.0
JEL J,1956,1936,1955,5,87,5,14,2,16,2,0.125
JEL J,1956,1936,1955,10,87,9,14,2,16,2,0.125
JEL J,1957,1937,1956,1,102,2,6,3,23,1,0.043478
JEL J,1957,1937,1956,5,102,6,6,3,23,1,0.043478
JEL J,1957,1937,1956,10,102,11,14,2,23,2,0.086957
JEL J,1958,1938,1957,1,128,2,2,4,15,0,0.0
JEL J,1958,1938,1957,5,128,7,7,3,15,0,0.0
JEL J,1958,1938,1957,10,128,13,16,2,15,1,0.066667
JEL J,1959,1939,1958,1,143,2,2,4,17,0,0.0
JEL J,1959,1939,1958,5,143,8,8,3,17,0,0.0
JEL J,1959,1939,1958,10,143,15,18,2,17,0,0.0
JEL J,1960,1940,1959,1,159,2,2,4,17,0,0.0
JEL J,1960,1940,1959,5,159,8,8,3,17,0,0.0
JEL J,1960,1940,1959,10,159,16,21,2,17,1,0.058824
JEL J,1961,1941,1960,1,171,2,2,4,14,0,0.0
JEL J,1961,1941,1960,5,171,9,9,3,14,2,0.142857
JEL J,1961,1941,1960,10,171,18,25,2,14,4,0.285714
JEL J,1962,1942,1961,1,183,2,3,4,18,0,0.0
JEL J,1962,1942,1961,5,183,10,11,3,18,0,0.0
JEL J,1962,1942,1961,10,183,19,25,2,18,2,0.111111
JEL J,1963,1943,1962,1,200,2,3,4,16,1,0.0625
JEL J,1963,1943,1962,5,200,10,14,3,16,1,0.0625
JEL J,1963,1943,1962,10,200,20,29,2,16,1,0.0625
JEL J,1964,1944,1963,1,223,3,3,4,22,0,0.0
JEL J,1964,1944,1963,5,223,12,14,3,22,1,0.045455
JEL J,1964,1944,1963,10,223,23,31,2,22,1,0.045455
JEL J,1965,1945,1964,1,243,3,4,4,19,1,0.052632
JEL J,1965,1945,1964,5,243,13,14,3,19,1,0.052632
JEL J,1965,1945,1964,10,243,25,35,2,19,2,0.105263
JEL J,1966,1946,1965,1,256,3,4,4,16,1,0.0625
JEL J,1966,1946,1965,5,256,13,15,3,16,1,0.0625
JEL J,1966,1946,1965,10,256,26,40,2,16,1,0.0625
JEL J,1967,1947,1966,1,276,3,4,4,16,0,0.0
JEL J,1967,1947,1966,5,276,14,15,3,16,3,0.1875
JEL J,1967,1947,1966,10,276,28,41,2,16,3,0.1875
JEL J,1968,1948,1967,1,290,3,7,4,18,1,0.055556
JEL J,1968,1948,1967,5,290,15,15,3,18,1,0.055556
JEL J,1968,1948,1967,10,290,29,43,2,18,2,0.111111
JEL J,1969,1949,1968,1,309,4,7,4,10,0,0.0
JEL J,1969,1949,1968,5,309,16,16,3,10,0,0.0
JEL J,1969,1949,1968,10,309,31,44,2,10,0,0.0
JEL J,1970,1950,1969,1,318,4,7,4,21,1,0.047619
JEL J,1970,1950,1969,5,318,16,16,3,21,1,0.047619
JEL J,1970,1950,1969,10,318,32,45,2,21,2,0.095238
JEL J,1971,1951,1970,1,327,4,6,4,19,0,0.0
JEL J,1971,1951,1970,5,327,17,40,2,19,0,0.0
JEL J,1971,1951,1970,10,327,33,40,2,19,0,0.0
JEL J,1972,1952,1971,1,337,4,5,4,25,0,0.0
JEL J,1972,1952,1971,5,337,17,39,2,25,0,0.0
JEL J,1972,1952,1971,10,337,34,39,2,25,0,0.0
JEL J,1973,1953,1972,1,353,4,14,3,41,0,0.0
JEL J,1973,1953,1972,5,353,18,41,2,41,3,0.073171
JEL J,1973,1953,1972,10,353,36,41,2,41,3,0.073171
JEL J,1974,1954,1973,1,376,4,4,4,36,0,0.0
JEL J,1974,1954,1973,5,376,19,49,2,36,5,0.138889
JEL J,1974,1954,1973,10,376,38,49,2,36,5,0.138889
JEL J,1975,1955,1974,1,404,5,5,4,23,0,0.0
JEL J,1975,1955,1974,5,404,21,55,2,23,2,0.086957
