ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
JEL G,1950,1930,1949,1,0,0,0,,6,0,0.0
JEL G,1950,1930,1949,5,0,0,0,,6,0,0.0
JEL G,1950,1930,1949,10,0,0,0,,6,0,0.0
JEL G,1951,1931,1950,1,5,1,1,2,5,0,0.0
JEL G,1951,1931,1950,5,5,1,1,2,5,0,0.0
JEL G,1951,1931,1950,10,5,1,1,2,5,0,0.0
JEL G,1952,1932,1951,1,12,1,1,2,11,0,0.0
JEL G,1952,1932,1951,5,12,1,1,2,11,0,0.0
JEL G,1952,1932,1951,10,12,2,12,1,11,2,0.181818
JEL G,1953,1933,1952,1,23,1,1,3,3,0,0.0
JEL G,1953,1933,1952,5,23,2,2,2,3,0,0.0
JEL G,1953,1933,1952,10,23,3,23,1,3,0,0.0
JEL G,1954,1934,1953,1,27,1,1,3,6,0,0.0
JEL G,1954,1934,1953,5,27,2,2,2,6,0,0.0
JEL G,1954,1934,1953,10,27,3,27,1,6,1,0.166667
JEL G,1955,1935,1954,1,35,1,1,3,7,0,0.0
JEL G,1955,1935,1954,5,35,2,3,2,7,0,0.0
JEL G,1955,1935,1954,10,35,4,35,1,7,0,0.0
JEL G,1956,1936,1955,1,42,1,1,3,2,0,0.0
JEL G,1956,1936,1955,5,42,3,3,2,2,0,0.0
JEL G,1956,1936,1955,10,42,5,42,1,2,0,0.0
JEL G,1957,1937,1956,1,45,1,1,3,11,0,0.0
JEL G,1957,1937,1956,5,45,3,3,2,11,0,0.0
JEL G,1957,1937,1956,10,45,5,45,1,11,0,0.0
JEL G,1958,1938,1957,1,57,1,1,3,7,0,0.0
JEL G,1958,1938,1957,5,57,3,3,2,7,0,0.0
JEL G,1958,1938,1957,10,57,6,57,1,7,1,0.142857
JEL G,1959,1939,1958,1,64,1,1,3,9,0,0.0
JEL G,1959,1939,1958,5,64,4,4,2,9,0,0.0
JEL G,1959,1939,1958,10,64,7,64,1,9,1,0.111111
JEL G,1960,1940,1959,1,71,1,1,3,5,0,0.0
JEL G,1960,1940,1959,5,71,4,6,2,5,0,0.0
JEL G,1960,1940,1959,10,71,8,71,1,5,0,0.0
JEL G,1961,1941,1960,1,76,1,1,3,8,0,0.0
